name,links
IT-Sware/DB/QA/Web/Graphics/GIS,applicant/vacancybyfunctionalarea.jsp?FA=SDQ
IT-HWare/Networks/Systems,applicant/vacancybyfunctionalarea.jsp?FA=HNS
Accounting/Auditing/Finance,applicant/vacancybyfunctionalarea.jsp?FA=ACA
Banking/Insurance,applicant/vacancybyfunctionalarea.jsp?FA=BAF
Sales/Marketing/Merchandising,applicant/vacancybyfunctionalarea.jsp?FA=SMM
HR/Training,applicant/vacancybyfunctionalarea.jsp?FA=HAT
Corporate Management/Analysts,applicant/vacancybyfunctionalarea.jsp?FA=COM
Office Admin/Secretary/Receptionist,applicant/vacancybyfunctionalarea.jsp?FA=OAS
Civil Eng/Interior Design/Architecture,applicant/vacancybyfunctionalarea.jsp?FA=CCE
IT-Telecoms,applicant/vacancybyfunctionalarea.jsp?FA=ITT
Customer Relations/Public Relations,applicant/vacancybyfunctionalarea.jsp?FA=CUR
Logistics/Warehouse/Transport,applicant/vacancybyfunctionalarea.jsp?FA=LWT
Eng-Mech/Auto/Elec,applicant/vacancybyfunctionalarea.jsp?FA=MAE
Manufacturing/Operations,applicant/vacancybyfunctionalarea.jsp?FA=POS
Media/Advert/Communication,applicant/vacancybyfunctionalarea.jsp?FA=MAC
Hotels/Restaurants/Food,applicant/vacancybyfunctionalarea.jsp?FA=HRF
Hospitality/Tourism,applicant/vacancybyfunctionalarea.jsp?FA=HOT
Sports/Fitness/Recreation,applicant/vacancybyfunctionalarea.jsp?FA=SRF
Hospital/Nursing/Healthcare,applicant/vacancybyfunctionalarea.jsp?FA=MHN
Legal/Law,applicant/vacancybyfunctionalarea.jsp?FA=LEL
Supervision/Quality Control,applicant/vacancybyfunctionalarea.jsp?FA=SQC
Apparel/Clothing,applicant/vacancybyfunctionalarea.jsp?FA=APC
Ticketing/Airline/Marine,applicant/vacancybyfunctionalarea.jsp?FA=AIM
Teaching/Academic/Library,applicant/vacancybyfunctionalarea.jsp?FA=TAL
R&D/Science/Research,applicant/vacancybyfunctionalarea.jsp?FA=RLT
Agriculture/Dairy/Environment,applicant/vacancybyfunctionalarea.jsp?FA=AGD
Security,applicant/vacancybyfunctionalarea.jsp?FA=SEC
Fashion/Design/Beauty,applicant/vacancybyfunctionalarea.jsp?FA=BEC
International Development,applicant/vacancybyfunctionalarea.jsp?FA=IDV
KPO/BPO,applicant/vacancybyfunctionalarea.jsp?FA=KPO
Imports/Exports,applicant/vacancybyfunctionalarea.jsp?FA=IME
 All Vacancies ,applicant/vacancybyfunctionalarea.jsp?FA=AV
,
